blank,session,date,filename,unit,topic,long-topic,concepts,title,pad-slug,image,zotero-tag,zotero-readings,objective,Leitfrage,tags,contents,slide-filename,slide-frontmatter,slide-body1,slide-body2,slide-content
,1,13.10,2025-10-13-1.md,Religion als Gegenstand,Vorstellung,Was machen wir hier?,,1. Religion als Gegenstand: Was machen wir hier?,1,candle.jpg,1-Vorstellung,,Sich gegenseitig kennenlernen und unsere gegenseitige Ziele für den Kurs berücksichtigen.,,[1],"---
layout: post
session: 1
tags: [1]
level: overview
---",2025-10-13-1-slides.md,"---
layout: reveal
title: 'Was machen wir hier?'
author: 'Nathan Gibson'
session: 1
tags: [1,slides]
category: slides
image: candle.jpg
parallaxBackgroundImage: 'assets/img/candle.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was machen wir hier?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

objective

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Sich gegenseitig kennenlernen und unsere gegenseitige Ziele für den Kurs berücksichtigen.","

## Lektüre



## Diskussion


## Vorschau

Was ist die Religionswissenschaft?","---
layout: reveal
title: 'Was machen wir hier?'
author: 'Nathan Gibson'
session: 1
tags: [1,slides]
category: slides
image: candle.jpg
parallaxBackgroundImage: 'assets/img/candle.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was machen wir hier?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

objective

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Sich gegenseitig kennenlernen und unsere gegenseitige Ziele für den Kurs berücksichtigen.

## Lektüre



## Diskussion


## Vorschau

Was ist die Religionswissenschaft?"
,2,20.10,2025-10-20-2.md,Religion als Gegenstand,Religionswissenschaft,Was ist die Religionswissenschaft?,,2. Religion als Gegenstand: Was ist die Religionswissenschaft?,2,religionen-lupe.jpg,2-Religionswissenschaft,stausbergReligionswissenschaftWarumWas2025,Die Bestimmung des Fachs Religionswissenschaft in seiner Breite und mit seinen Unterschieden zur Theologie erfassen.,Was hat die Religionswissenschaft mit Kultur zu tun?,[2],"---
layout: post
session: 2
tags: [2]
level: overview
---",2025-10-20-2-slides.md,"---
layout: reveal
title: 'Was ist die Religionswissenschaft?'
author: 'Nathan Gibson'
session: 2
tags: [2,slides]
category: slides
image: religionen-lupe.jpg
parallaxBackgroundImage: 'assets/img/religionen-lupe.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was ist die Religionswissenschaft?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Sich gegenseitig kennenlernen und unsere gegenseitige Ziele für den Kurs berücksichtigen.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Die Bestimmung des Fachs Religionswissenschaft in seiner Breite und mit seinen Unterschieden zur Theologie erfassen.","

## Lektüre



## Diskussion


## Vorschau

Was ist Religion?","---
layout: reveal
title: 'Was ist die Religionswissenschaft?'
author: 'Nathan Gibson'
session: 2
tags: [2,slides]
category: slides
image: religionen-lupe.jpg
parallaxBackgroundImage: 'assets/img/religionen-lupe.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was ist die Religionswissenschaft?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Sich gegenseitig kennenlernen und unsere gegenseitige Ziele für den Kurs berücksichtigen.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Die Bestimmung des Fachs Religionswissenschaft in seiner Breite und mit seinen Unterschieden zur Theologie erfassen.

## Lektüre



## Diskussion


## Vorschau

Was ist Religion?"
,3,27.10,2025-10-27-3.md,Religion als Gegenstand,Definitionen,Was ist Religion?,,3. Religion als Gegenstand: Was ist Religion?,3,magnifying-glass.jpg,3-Definitionen,stausbergI1ReligionBegriff2012,"Verschiedene Definitionen von Religion unterscheiden können, was sie umfassen und wofür sie nützlich sein können.","Was sind 2 Ansätze, die Religion zu definieren? ",[3],"---
layout: post
session: 3
tags: [3]
level: overview
---",2025-10-27-3-slides.md,"---
layout: reveal
title: 'Was ist Religion?'
author: 'Nathan Gibson'
session: 3
tags: [3,slides]
category: slides
image: magnifying-glass.jpg
parallaxBackgroundImage: 'assets/img/magnifying-glass.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was ist Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Die Bestimmung des Fachs Religionswissenschaft in seiner Breite und mit seinen Unterschieden zur Theologie erfassen.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Verschiedene Definitionen von Religion unterscheiden können, was sie umfassen und wofür sie nützlich sein können.","

## Lektüre



## Diskussion


## Vorschau

Was gilt als religiöses Ritual?","---
layout: reveal
title: 'Was ist Religion?'
author: 'Nathan Gibson'
session: 3
tags: [3,slides]
category: slides
image: magnifying-glass.jpg
parallaxBackgroundImage: 'assets/img/magnifying-glass.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was ist Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Die Bestimmung des Fachs Religionswissenschaft in seiner Breite und mit seinen Unterschieden zur Theologie erfassen.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Verschiedene Definitionen von Religion unterscheiden können, was sie umfassen und wofür sie nützlich sein können.

## Lektüre



## Diskussion


## Vorschau

Was gilt als religiöses Ritual?"
,4,03.11,2025-11-03-4.md,Religion als Gegenstand,Ritual,Was gilt als religiöses Ritual?,,4. Religion als Gegenstand: Was gilt als religiöses Ritual?,4,02_Fussball.jpg,4-Ritual,brombergerFussballAlsWeltsicht2003,"Rituale auf drei Ebenen (Formen, Funktionen, Bedeutungen) anhand von Beispielen schildern können.",Was haben Fußballrituale mit religiösen Ritualen gemeinsam?,[4],"---
layout: post
session: 4
tags: [4]
level: overview
---",2025-11-03-4-slides.md,"---
layout: reveal
title: 'Was gilt als religiöses Ritual?'
author: 'Nathan Gibson'
session: 4
tags: [4,slides]
category: slides
image: 02_Fussball.jpg
parallaxBackgroundImage: 'assets/img/02_Fussball.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was gilt als religiöses Ritual?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Verschiedene Definitionen von Religion unterscheiden können, was sie umfassen und wofür sie nützlich sein können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Rituale auf drei Ebenen (Formen, Funktionen, Bedeutungen) anhand von Beispielen schildern können.","

## Lektüre



## Diskussion


## Vorschau

Wie bilden sich religiöse Gruppen und Autoritäten?","---
layout: reveal
title: 'Was gilt als religiöses Ritual?'
author: 'Nathan Gibson'
session: 4
tags: [4,slides]
category: slides
image: 02_Fussball.jpg
parallaxBackgroundImage: 'assets/img/02_Fussball.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Was gilt als religiöses Ritual?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Verschiedene Definitionen von Religion unterscheiden können, was sie umfassen und wofür sie nützlich sein können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Rituale auf drei Ebenen (Formen, Funktionen, Bedeutungen) anhand von Beispielen schildern können.

## Lektüre



## Diskussion


## Vorschau

Wie bilden sich religiöse Gruppen und Autoritäten?"
,5,10.11,2025-11-10-5.md,Gruppen und Autorität,Gruppen,Wie bilden sich religiöse Gruppen und Autoritäten?,,5. Gruppen und Autorität: Wie bilden sich religiöse Gruppen und Autoritäten?,5,kaaba.jpg,5-Gruppen,rengerIII7MeisterJuengerUnd2012,"Historische und gegenwärtige Beispiele der Gruppenbildung anhand eines differenzierten Konzepts von ""Meister/Jüngerschaft"" erläutern können.",,[5],"---
layout: post
session: 5
tags: [5]
level: overview
---",2025-11-10-5-slides.md,"---
layout: reveal
title: 'Wie bilden sich religiöse Gruppen und Autoritäten?'
author: 'Nathan Gibson'
session: 5
tags: [5,slides]
category: slides
image: kaaba.jpg
parallaxBackgroundImage: 'assets/img/kaaba.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Wie bilden sich religiöse Gruppen und Autoritäten?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Rituale auf drei Ebenen (Formen, Funktionen, Bedeutungen) anhand von Beispielen schildern können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Historische und gegenwärtige Beispiele der Gruppenbildung anhand eines differenzierten Konzepts von ""Meister/Jüngerschaft"" erläutern können.","

## Lektüre



## Diskussion


## Vorschau

Welche Rolle spielt Gender in der Religion?","---
layout: reveal
title: 'Wie bilden sich religiöse Gruppen und Autoritäten?'
author: 'Nathan Gibson'
session: 5
tags: [5,slides]
category: slides
image: kaaba.jpg
parallaxBackgroundImage: 'assets/img/kaaba.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Wie bilden sich religiöse Gruppen und Autoritäten?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Rituale auf drei Ebenen (Formen, Funktionen, Bedeutungen) anhand von Beispielen schildern können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Historische und gegenwärtige Beispiele der Gruppenbildung anhand eines differenzierten Konzepts von ""Meister/Jüngerschaft"" erläutern können.

## Lektüre



## Diskussion


## Vorschau

Welche Rolle spielt Gender in der Religion?"
,6,17.11,2025-11-17-6.md,Gruppen und Autorität,Gender,Welche Rolle spielt Gender in der Religion?,,6. Gruppen und Autorität: Welche Rolle spielt Gender in der Religion?,6,04.MarabouWomen.jpg,6-Gender,gemmekeMaraboutWomenDakar2009,"Ebenen der Genderforschung erläutern können, auf die die Religionswissenschaft grundlegend eingehen kann.",,[6],"---
layout: post
session: 6
tags: [6]
level: overview
---",2025-11-17-6-slides.md,"---
layout: reveal
title: 'Welche Rolle spielt Gender in der Religion?'
author: 'Nathan Gibson'
session: 6
tags: [6,slides]
category: slides
image: 04.MarabouWomen.jpg
parallaxBackgroundImage: 'assets/img/04.MarabouWomen.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Welche Rolle spielt Gender in der Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Historische und gegenwärtige Beispiele der Gruppenbildung anhand eines differenzierten Konzepts von ""Meister/Jüngerschaft"" erläutern können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Ebenen der Genderforschung erläutern können, auf die die Religionswissenschaft grundlegend eingehen kann.","

## Lektüre



## Diskussion


## Vorschau

Wer oder was bestimmt die Orthodoxie?","---
layout: reveal
title: 'Welche Rolle spielt Gender in der Religion?'
author: 'Nathan Gibson'
session: 6
tags: [6,slides]
category: slides
image: 04.MarabouWomen.jpg
parallaxBackgroundImage: 'assets/img/04.MarabouWomen.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Welche Rolle spielt Gender in der Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Historische und gegenwärtige Beispiele der Gruppenbildung anhand eines differenzierten Konzepts von ""Meister/Jüngerschaft"" erläutern können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Ebenen der Genderforschung erläutern können, auf die die Religionswissenschaft grundlegend eingehen kann.

## Lektüre



## Diskussion


## Vorschau

Wer oder was bestimmt die Orthodoxie?"
,7,24.11,2025-11-24-7.md,Gruppen und Autorität,Orthodoxie,Wer oder was bestimmt die Orthodoxie?,,7. Gruppen und Autorität: Wer oder was bestimmt die Orthodoxie?,7,yezidi.jpg,7-Orthodoxie,schlieterReligionReligionswissenschaftUnd2012,"Erklären können, wie Normativitätsansprüche in der Religionswissenschaft untersucht werden können.",,[7],"---
layout: post
session: 7
tags: [7]
level: overview
---",2025-11-24-7-slides.md,"---
layout: reveal
title: 'Wer oder was bestimmt die Orthodoxie?'
author: 'Nathan Gibson'
session: 7
tags: [7,slides]
category: slides
image: yezidi.jpg
parallaxBackgroundImage: 'assets/img/yezidi.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Wer oder was bestimmt die Orthodoxie?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Ebenen der Genderforschung erläutern können, auf die die Religionswissenschaft grundlegend eingehen kann.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Erklären können, wie Normativitätsansprüche in der Religionswissenschaft untersucht werden können.","

## Lektüre



## Diskussion


## Vorschau

Wie werden heilige Schriften überliefert?","---
layout: reveal
title: 'Wer oder was bestimmt die Orthodoxie?'
author: 'Nathan Gibson'
session: 7
tags: [7,slides]
category: slides
image: yezidi.jpg
parallaxBackgroundImage: 'assets/img/yezidi.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Wer oder was bestimmt die Orthodoxie?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Ebenen der Genderforschung erläutern können, auf die die Religionswissenschaft grundlegend eingehen kann.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Erklären können, wie Normativitätsansprüche in der Religionswissenschaft untersucht werden können.

## Lektüre



## Diskussion


## Vorschau

Wie werden heilige Schriften überliefert?"
,8,01.12,2025-12-01-8.md,Materialität und Körper,Schriften,Wie werden heilige Schriften überliefert?,,8. Materialität und Körper: Wie werden heilige Schriften überliefert?,8,synagogue-scroll.jpg,8-Schriften,pelikanWrittenTorahTalmud2006,Die mündliche und schriftliche Dynamik der abrahamitischen Religionen im Verhältnis zueinander zu beschreiben.,,[8],"---
layout: post
session: 8
tags: [8]
level: overview
---",2025-12-01-8-slides.md,"---
layout: reveal
title: 'Wie werden heilige Schriften überliefert?'
author: 'Nathan Gibson'
session: 8
tags: [8,slides]
category: slides
image: synagogue-scroll.jpg
parallaxBackgroundImage: 'assets/img/synagogue-scroll.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Wie werden heilige Schriften überliefert?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Erklären können, wie Normativitätsansprüche in der Religionswissenschaft untersucht werden können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Die mündliche und schriftliche Dynamik der abrahamitischen Religionen im Verhältnis zueinander zu beschreiben.","

## Lektüre



## Diskussion


## Vorschau

Welche Rolle spielen materielle Objekte in der Religion?","---
layout: reveal
title: 'Wie werden heilige Schriften überliefert?'
author: 'Nathan Gibson'
session: 8
tags: [8,slides]
category: slides
image: synagogue-scroll.jpg
parallaxBackgroundImage: 'assets/img/synagogue-scroll.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Wie werden heilige Schriften überliefert?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Erklären können, wie Normativitätsansprüche in der Religionswissenschaft untersucht werden können.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Die mündliche und schriftliche Dynamik der abrahamitischen Religionen im Verhältnis zueinander zu beschreiben.

## Lektüre



## Diskussion


## Vorschau

Welche Rolle spielen materielle Objekte in der Religion?"
,9,08.12,2025-12-08-9.md,Materialität und Körper,Objekte,Welche Rolle spielen materielle Objekte in der Religion?,,9. Materialität und Körper: Welche Rolle spielen materielle Objekte in der Religion?,9,mosque.jpg,9-Objekte,prohlMaterialeReligion2012,"Erklären können, wie die Forschung an materiellen Objekten den Glauben an das Transzendente greifbar macht.",,[9],"---
layout: post
session: 9
tags: [9]
level: overview
---",2025-12-08-9-slides.md,"---
layout: reveal
title: 'Welche Rolle spielen materielle Objekte in der Religion?'
author: 'Nathan Gibson'
session: 9
tags: [9,slides]
category: slides
image: mosque.jpg
parallaxBackgroundImage: 'assets/img/mosque.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Welche Rolle spielen materielle Objekte in der Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Die mündliche und schriftliche Dynamik der abrahamitischen Religionen im Verhältnis zueinander zu beschreiben.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Erklären können, wie die Forschung an materiellen Objekten den Glauben an das Transzendente greifbar macht.","

## Lektüre



## Diskussion


## Vorschau

Welche Rolle spielen heilige Orte in der Religion?","---
layout: reveal
title: 'Welche Rolle spielen materielle Objekte in der Religion?'
author: 'Nathan Gibson'
session: 9
tags: [9,slides]
category: slides
image: mosque.jpg
parallaxBackgroundImage: 'assets/img/mosque.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Welche Rolle spielen materielle Objekte in der Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Die mündliche und schriftliche Dynamik der abrahamitischen Religionen im Verhältnis zueinander zu beschreiben.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Erklären können, wie die Forschung an materiellen Objekten den Glauben an das Transzendente greifbar macht.

## Lektüre



## Diskussion


## Vorschau

Welche Rolle spielen heilige Orte in der Religion?"
,10,15.12,2025-12-15-10.md,Materialität und Körper,Orte,Welche Rolle spielen heilige Orte in der Religion?,,10. Materialität und Körper: Welche Rolle spielen heilige Orte in der Religion?,10,madaba-map.jpg,10-Orte,walker11Pilgrimage2018,"Erklären können, auf welche Weise Orte sakrale Bedeutung erlangen, und diese Bedeutung anhand jüdischer, christlicher und islamischer Beispiele erläutern.","Was macht einen Ort für Pilger ""heilig""?",[10],"---
layout: post
session: 10
tags: [10]
level: overview
---",2025-12-15-10-slides.md,"---
layout: reveal
title: 'Welche Rolle spielen heilige Orte in der Religion?'
author: 'Nathan Gibson'
session: 10
tags: [10,slides]
category: slides
image: madaba-map.jpg
parallaxBackgroundImage: 'assets/img/madaba-map.jpg'
---
","# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Welche Rolle spielen heilige Orte in der Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Erklären können, wie die Forschung an materiellen Objekten den Glauben an das Transzendente greifbar macht.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Erklären können, auf welche Weise Orte sakrale Bedeutung erlangen, und diese Bedeutung anhand jüdischer, christlicher und islamischer Beispiele erläutern.","

## Lektüre



## Diskussion


## Vorschau

Welche Wirkung hat die religiöse Praxis auf den Körper?","---
layout: reveal
title: 'Welche Rolle spielen heilige Orte in der Religion?'
author: 'Nathan Gibson'
session: 10
tags: [10,slides]
category: slides
image: madaba-map.jpg
parallaxBackgroundImage: 'assets/img/madaba-map.jpg'
---
# Einführung in die 
### Religionswissenschaft
{: .r-fit-text}

### Welche Rolle spielen heilige Orte in der Religion?

Wintersemester 2025/2026
Prof. Dr. Nathan Gibson

## 📈 Rückblick: Lernziel

Erklären können, wie die Forschung an materiellen Objekten den Glauben an das Transzendente greifbar macht.

## 📈 Rückblick: 



## Projekt


## Einleitung



## Heutiges Lernziel

Erklären können, auf welche Weise Orte sakrale Bedeutung erlangen, und diese Bedeutung anhand jüdischer, christlicher und islamischer Beispiele erläutern.

## Lektüre



## Diskussion


## Vorschau

Welche Wirkung hat die religiöse Praxis auf den Körper?"
